,KH2PO4,NH4Cl,KCl,MgSO4*7H2O,ZnSO4·7H2O,H3BO3,MnCl2·4H2O,FeSO4·7H2O,CoCl2·6H2O,CuSO4·5H20,Na2MoO4·2H2O,Na4EDTA,biotin,pyridoxine,thiamine,riboflavin,para-aminobenzoic acid,nicotinic acid,Malate Titer (g/L),DCW (g/L)
5c,0.863448,1.277408,0.200085,0.828237,0.12976,0.050816,0.3075,0.293988,0.26847,0.460747,0.037056,1.2963,0.004415,0.007491,0.00289,0.06381,0.009533,0.009676,0.0,0.9
5c,0.863448,1.277408,0.200085,0.828237,0.12976,0.050816,0.3075,0.293988,0.26847,0.460747,0.037056,1.2963,0.004415,0.007491,0.00289,0.06381,0.009533,0.009676,0.0,0.9
6c,0.314702,1.080844,0.56956,0.604067,0.230908,0.365419,0.466041,0.081576,0.222177,0.265009,0.02921,0.972446,0.007818,0.000151,0.001785,0.010925,0.004977,0.003776,0.0,1.7
6c,0.314702,1.080844,0.56956,0.604067,0.230908,0.365419,0.466041,0.081576,0.222177,0.265009,0.02921,0.972446,0.007818,0.000151,0.001785,0.010925,0.004977,0.003776,0.0,1.8
6c,0.314702,1.080844,0.56956,0.604067,0.230908,0.365419,0.466041,0.081576,0.222177,0.265009,0.02921,0.972446,0.007818,0.000151,0.001785,0.010925,0.004977,0.003776,0.0,1.8
8c,0.400999,1.392585,0.505966,0.591378,0.436441,0.388113,0.388718,0.251436,0.247073,0.071365,0.012087,1.624001,0.006881,0.000177,0.002322,0.068571,0.009554,0.008719,0.55,0.9
8c,0.400999,1.392585,0.505966,0.591378,0.436441,0.388113,0.388718,0.251436,0.247073,0.071365,0.012087,1.624001,0.006881,0.000177,0.002322,0.068571,0.009554,0.008719,0.74,0.4
8c,0.400999,1.392585,0.505966,0.591378,0.436441,0.388113,0.388718,0.251436,0.247073,0.071365,0.012087,1.624001,0.006881,0.000177,0.002322,0.068571,0.009554,0.008719,0.88,0.6
9c,1.453368,1.392585,0.505966,0.591378,0.436441,0.388113,0.388718,0.251436,0.247073,0.071365,0.012087,1.624001,0.006881,0.000177,0.002322,0.029524,0.009554,0.008719,6.91,13.7
9c,1.453368,1.392585,0.505966,0.591378,0.436441,0.388113,0.388718,0.251436,0.247073,0.071365,0.012087,1.624001,0.006881,0.000177,0.002322,0.029524,0.009554,0.008719,6.93,15.5
9c,1.453368,1.392585,0.505966,0.591378,0.436441,0.388113,0.388718,0.251436,0.247073,0.071365,0.012087,1.624001,0.006881,0.000177,0.002322,0.029524,0.009554,0.008719,6.83,15.1
10c,1.508448,1.675694,0.586488,0.976332,0.374204,0.365855,0.197889,0.070151,0.377377,0.206901,0.042254,1.32315,0.002475,0.003797,0.005938,0.074286,0.00714,0.008588,0.62,1.5
10c,1.508448,1.675694,0.586488,0.976332,0.374204,0.365855,0.197889,0.070151,0.377377,0.206901,0.042254,1.32315,0.002475,0.003797,0.005938,0.074286,0.00714,0.008588,0.54,1.5
10c,1.508448,1.675694,0.586488,0.976332,0.374204,0.365855,0.197889,0.070151,0.377377,0.206901,0.042254,1.32315,0.002475,0.003797,0.005938,0.074286,0.00714,0.008588,0.6,1.6
11c,0.592608,0.829521,0.159113,0.227407,0.487338,0.114322,0.391651,0.240321,0.268775,0.354381,0.042738,2.21586,0.002445,0.007181,0.008625,0.066667,0.006609,0.003108,5.62,10.7
11c,0.592608,0.829521,0.159113,0.227407,0.487338,0.114322,0.391651,0.240321,0.268775,0.354381,0.042738,2.21586,0.002445,0.007181,0.008625,0.066667,0.006609,0.003108,6.3,11.7
11c,0.592608,0.829521,0.159113,0.227407,0.487338,0.114322,0.391651,0.240321,0.268775,0.354381,0.042738,2.21586,0.002445,0.007181,0.008625,0.066667,0.006609,0.003108,6.35,11.5
16c,1.90411,1.781166,0.321659,1.350978,0.330167,0.368648,0.432533,0.038732,0.310076,0.106304,0.051511,1.577051,0.002405,0.008159,0.007676,0.049524,0.000931,0.006575,3.68,6.9
16c,1.90411,1.781166,0.321659,1.350978,0.330167,0.368648,0.432533,0.038732,0.310076,0.106304,0.051511,1.577051,0.002405,0.008159,0.007676,0.049524,0.000931,0.006575,4.07,7.5
16c,1.90411,1.781166,0.321659,1.350978,0.330167,0.368648,0.432533,0.038732,0.310076,0.106304,0.051511,1.577051,0.002405,0.008159,0.007676,0.049524,0.000931,0.006575,4.18,7.6
17c,0.833371,0.681849,0.306765,0.438219,0.340991,0.300236,0.297025,0.209993,0.481223,0.072767,0.087571,1.761225,0.008537,0.008189,0.008422,0.031429,0.004879,0.005449,6.26,8.7
17c,0.833371,0.681849,0.306765,0.438219,0.340991,0.300236,0.297025,0.209993,0.481223,0.072767,0.087571,1.761225,0.008537,0.008189,0.008422,0.031429,0.004879,0.005449,6.34,8.8
